Jakub Kalinowski 242413 2022-12-01
Miniatures: 
Miniature name                               Assembly date                   Paint date     
Alpha_1                                       2022-03-12                     2022-03-15      
Alpha_2                                       2022-03-12                     2022-03-15      
Alpha_3                                       2022-03-12                     2022-03-15      
Alpha_4                                       2022-03-16                     2022-03-18      
Alpha_5                                       2022-03-16                     2022-03-18      
Alpha_6                                       2022-03-22                     2022-03-22      
Alpha_7                                       2022-03-24                     2022-03-29      
Alpha_8                                       2022-03-24                     2022-03-29      
Alpha_9                                       2022-03-24                     2022-03-29      
Alpha_10                                      2022-04-01                     2022-04-01      
Beta_1                                        2022-04-01                     2022-04-01      
Beta_2                                        2022-04-05                     2022-04-07      
Beta_3                                        2022-04-05                     2022-04-07      
Beta_4                                        2022-04-11                     2022-04-12      
Beta_5                                        2022-04-11                     2022-04-12      
Beta_6                                        2022-04-14                     2022-04-14      
Beta_7                                        2022-04-14                     2022-04-14      
Beta_8                                        2022-04-15                     2022-04-15      
Beta_9                                        2022-04-16                     2022-04-18      
Beta_10                                       2022-04-18                     2022-04-19      
Theta_1                                       2022-04-19                     2022-04-19      
Theta_2                                       2022-04-25                     2022-04-27      
Theta_3                                       2022-04-25                     2022-04-27      
Theta_4                                       2022-05-11                     2022-05-13      
Theta_5                                       2022-05-14                     2022-05-15      
Theta_6                                       2022-05-14                     2022-05-15      
Theta_7                                       2022-05-14                     2022-05-15      
Theta_8                                       2022-05-19                     2022-05-19      
Theta_9                                       2022-05-19                     2022-05-20      
Theta_10                                      2022-05-20                     2022-05-21      
Dread_1                                       2022-06-19                     2022-06-22      
